id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info
686,694.0,Joe Parkinson,Joe,Parkinson,1971-06-11,England,England,,M,Midfielder
19,3636.0,Ray Parlour,Ray,Parlour,1973-03-07,England,England,15.0,M,Midfielder
1024,42030.0,Mark Patterson,Mark,Patterson,1965-05-24,England,England,,F,Forward
671,25930.0,Gavin Peacock,Gavin,Peacock,1967-11-18,England,England,,,
96,30403.0,Ian Pearce,Ian,Pearce,1974-05-07,England,England,,D,Defender
345,1198.0,Steve Pears,Steve,Pears,1962-01-22,England,England,,G,Goalkeeper
503,1224.0,Nigel Pearson,Nigel,Pearson,1963-08-21,England,England,,D,Defender
483,706.0,John Pemberton,John,Pemberton,1964-11-18,England,England,,M,Midfielder
1096,3227.0,Mark Pembridge,Mark,Pembridge,1970-11-29,Wales,Wales,24.0,M,Midfielder
465,447.0,Gary Penrice,Gary,Penrice,1964-03-23,England,England,,F,Forward
587,97107.0,Chris Perry,Chris,Perry,1973-04-26,England,England,5.0,D,Defender
954,2491.0,Dan Petrescu,Dan,Petrescu,1967-12-22,Romania,Romania,,D,Defender
224,215.0,Paul Pettinger,Paul,Pettinger,1975-10-01,England,England,,G,Goalkeeper
291,1381.0,Terry Phelan,Terry,Phelan,1967-03-16,Ireland,Ireland,,D,Defender
921,3869.0,Phil Neville,Philip,Neville,1977-01-21,England,England,18.0,M,Centre Defensive Midfielder
355,1148.0,Jimmy Phillips,Jimmy,Phillips,1966-02-08,England,England,,M,Midfielder
679,685.0,Ally Pickering,Ally,Pickering,1967-06-22,England,England,,D,Defender
308,135707.0,Kevin Pilkington,Kevin,Pilkington,1974-03-08,England,England,44.0,G,Goalkeeper
989,1105.0,David Platt,David,Platt,1966-06-10,England,England,,M,Midfielder
1099,1266.0,Mark Platts,Mark,Platts,1979-05-23,England,England,,M,Midfielder
949,1040.0,Chris Plummer,Chris,Plummer,1976-10-12,England,England,14.0,D,Defender
362,1781.0,Jamie Pollock,Jamie,Pollock,1974-02-16,England,England,,M,Midfielder
752,780.0,Adem Poric,Adem,Poric,1973-04-22,England,England,,M,Midfielder
785,821.0,Steve Potts,Steve,Potts,1967-05-07,United States,England,,D,Defender
495,2910.0,Kevin Pressman,Kevin,Pressman,1967-11-06,England,England,,G,Goalkeeper
1126,1310.0,William Prunier,William,Prunier,1967-08-14,France,France,,D,Defender
1092,41994.0,Nigel Quashie,Nigel,Quashie,1978-07-20,Scotland,Scotland,19.0,M,Midfielder
304,1492.0,Niall Quinn,Niall,Quinn,1966-10-06,Ireland,Ireland,,F,Forward
886,961.0,Lucas Radebe,Lucas,Radebe,1969-04-12,South Africa,South Africa,5.0,D,Defender
444,426.0,Karl Ready,Karl,Ready,1972-08-14,England,England,,D,Defender
262,3710.0,Jamie Redknapp,Jamie,Redknapp,1973-06-25,England,England,38.0,M,Midfielder
1001,1121.0,Adam Reed,Adam,Reed,1975-02-18,England,England,,D,Defender
